"Date","Price","Open","High","Low","Vol.","Change %"
"06/25/2024","1,085.32","1,084.59","1,088.32","1,081.68","","0.09%"
"06/24/2024","1,084.32","1,087.85","1,087.85","1,078.54","","-0.24%"
"06/21/2024","1,086.93","1,094.06","1,094.06","1,086.12","","-0.81%"
"06/20/2024","1,095.76","1,095.47","1,096.57","1,092.98","","0.04%"
"06/19/2024","1,095.27","1,082.49","1,096.59","1,082.49","","1.24%"
"06/18/2024","1,081.81","1,075.48","1,082.99","1,075.48","","0.71%"
"06/17/2024","1,074.20","1,075.99","1,077.84","1,072.22","","-0.25%"
"06/14/2024","1,076.89","1,075.60","1,077.82","1,071.86","","0.13%"
"06/13/2024","1,075.54","1,071.17","1,080.13","1,071.17","","0.65%"
"06/12/2024","1,068.55","1,066.09","1,072.42","1,064.58","","0.27%"
"06/11/2024","1,065.70","1,070.01","1,071.93","1,065.28","","-0.43%"
"06/10/2024","1,070.33","1,070.35","1,070.74","1,068.56","","-0.26%"
"06/07/2024","1,073.14","1,074.68","1,077.01","1,069.82","","-0.01%"
"06/06/2024","1,073.26","1,068.78","1,075.23","1,068.37","","0.99%"
"06/05/2024","1,062.79","1,053.54","1,063.68","1,052.60","","1.03%"
"06/04/2024","1,051.96","1,069.94","1,070.85","1,048.64","","-1.62%"
"06/03/2024","1,069.31","1,050.39","1,073.31","1,050.39","","1.94%"
"05/31/2024","1,048.96","1,059.00","1,064.26","1,048.28","","-0.86%"
"05/30/2024","1,058.08","1,070.34","1,070.34","1,057.57","","-1.31%"
"05/29/2024","1,072.11","1,086.61","1,086.79","1,070.60","","-1.46%"
"05/28/2024","1,088.01","1,090.44","1,095.07","1,086.76","","-0.21%"
"05/27/2024","1,090.32","1,082.59","1,091.91","1,082.59","","0.68%"
"05/24/2024","1,082.98","1,089.67","1,089.67","1,082.20","","-0.77%"
"05/23/2024","1,091.37","1,094.60","1,095.80","1,089.29","","-0.36%"
"05/22/2024","1,095.29","1,093.38","1,099.17","1,092.35","","0.17%"
"05/21/2024","1,093.38","1,101.27","1,101.27","1,092.73","","-0.77%"
"05/20/2024","1,101.91","1,101.02","1,103.71","1,099.95","","0.19%"
"05/17/2024","1,099.79","1,097.95","1,100.85","1,094.80","","0.11%"
"05/16/2024","1,098.56","1,088.72","1,098.56","1,088.72","","1.28%"
"05/15/2024","1,084.65","1,083.51","1,087.99","1,083.51","","0.34%"
"05/14/2024","1,080.96","1,079.08","1,082.41","1,077.28","","0.21%"
"05/13/2024","1,078.72","1,071.16","1,080.12","1,070.45","","0.66%"
"05/10/2024","1,071.64","1,065.92","1,073.54","1,065.43","","0.76%"
"05/09/2024","1,063.52","1,066.51","1,069.66","1,062.83","","-0.29%"
"05/08/2024","1,066.62","1,067.82","1,067.99","1,064.27","","-0.15%"
"05/07/2024","1,068.26","1,068.39","1,071.97","1,066.92","","0.14%"
"05/06/2024","1,066.73","1,064.98","1,068.38","1,064.76","","0.50%"
"05/03/2024","1,061.45","1,055.31","1,066.32","1,055.08","","0.82%"
"05/02/2024","1,052.86","1,046.15","1,055.44","1,042.93","","0.70%"
"05/01/2024","1,045.52","1,044.40","1,046.93","1,044.20","","-0.04%"
